exp_id,video file,resolution,FPS,length(s),sim_threshold,face_cnt,min_csize,face_cloth_weights,use_merging,number of persons,total time(s),DBI
exp0000,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.3]",True,1,34.304,-10000000000.0
exp0001,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.3]",False,11,34.046,1.330600164894859
exp0002,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.5]",True,6,36.915,2.547077858879568
exp0003,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.5]",False,12,33.939,1.3957291039311956
exp0004,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.6]",True,6,34.337,1.9181219506366285
exp0005,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.6]",False,12,34.811,1.5699160503780591
exp0006,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.7]",True,8,33.956,1.9376724304125783
exp0007,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.7]",False,12,34.287,1.5730406066918146
exp0008,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.8]",True,10,35.368,1.7118140207734631
exp0009,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.8]",False,14,34.891,1.5919715209113308
exp0010,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.9]",True,9,35.732,1.5928774323499952
exp0011,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 0.9]",False,11,35.925,1.4961245812375936
exp0012,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 1.0]",True,9,35.555,1.6606768991249354
exp0013,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,5,"[1.0, 1.0]",False,11,35.914,1.566239964929814
exp0014,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.3]",True,1,34.567,-10000000000.0
exp0015,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.3]",False,9,33.794,1.3737362689807346
exp0016,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.5]",True,5,36.074,2.6774645137044564
exp0017,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.5]",False,9,33.377,1.4371413530300776
exp0018,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.6]",True,5,34.772,2.1117138917380704
exp0019,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.6]",False,11,33.657,1.636194315225439
exp0020,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.7]",True,7,34.696,2.073386225668955
exp0021,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.7]",False,11,34.011,1.639153616811823
exp0022,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.8]",True,8,33.672,1.6759902621163467
exp0023,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.8]",False,11,34.394,1.6688644004535482
exp0024,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.9]",True,7,35.654,1.700554881564465
exp0025,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 0.9]",False,9,35.743,1.5699733092640444
exp0026,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 1.0]",True,7,35.275,1.705911638006021
exp0027,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,8,"[1.0, 1.0]",False,9,35.563,1.592803338216706
exp0028,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.3]",True,1,33.954,-10000000000.0
exp0029,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.3]",False,9,33.822,1.373736314565347
exp0030,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.5]",True,5,34.732,2.301351508016711
exp0031,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.5]",False,8,33.404,1.4734028516110929
exp0032,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.6]",True,5,34.215,2.011813765050038
exp0033,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.6]",False,9,34.167,1.4798415180515625
exp0034,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.7]",True,7,33.906,1.6794573933515238
exp0035,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.7]",False,9,33.175,1.5042085141689538
exp0036,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.8]",True,7,33.56,1.6738485527367744
exp0037,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.8]",False,9,34.077,1.7352267564203303
exp0038,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.9]",True,6,34.593,1.7018077463464067
exp0039,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 0.9]",False,7,35.575,1.6401255927180354
exp0040,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 1.0]",True,6,35.313,1.7089669386903052
exp0041,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,10,"[1.0, 1.0]",False,7,35.288,1.6688259748651817
exp0042,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.3]",True,1,32.852,-10000000000.0
exp0043,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.3]",False,6,32.957,1.3958523952308146
exp0044,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.5]",True,5,33.875,2.13901644672346
exp0045,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.5]",False,7,32.941,1.405538968661664
exp0046,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.6]",True,5,32.633,1.6568000719267406
exp0047,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.6]",False,7,32.21,1.4055255327370415
exp0048,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.7]",True,6,32.844,1.530853549926518
exp0049,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.7]",False,7,32.43,1.425300753950586
exp0050,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.8]",True,6,32.514,1.5628737412995166
exp0051,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.8]",False,7,32.313,1.483378097036408
exp0052,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.9]",True,6,34.417,1.7018077420361548
exp0053,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 0.9]",False,7,34.972,1.640125611028546
exp0054,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 1.0]",True,6,35.608,1.708966930584429
exp0055,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,300,15,"[1.0, 1.0]",False,7,35.447,1.6688259748651817
exp0056,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.3]",True,1,37.02,-10000000000.0
exp0057,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.3]",False,12,37.315,1.3602888130613433
exp0058,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.5]",True,4,37.739,2.866664601520552
exp0059,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.5]",False,12,36.813,1.4156551185429882
exp0060,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.6]",True,7,37.579,2.183008303926829
exp0061,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.6]",False,11,37.191,1.4586553112699974
exp0062,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.7]",True,8,36.342,1.910944159318353
exp0063,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.7]",False,11,36.727,1.492932813059852
exp0064,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.8]",True,10,38.244,1.7398397572577622
